생산월	line	prc	model	dr	설비수	wpd	send	capa	생산목표
26년 1월	16	KIZ_01	ARIA	D1z	4	373	0	74600	107800
26년 1월	16	KIZ_02	NOVA	D1z	8	441	300	183456	107800
26년 1월	16	KIZ_03	MIRA	D1z	3	355	200	47925	107800
26년 1월	16	KIZ_04	ARIA	D1z	7	378	0	132300	107800
26년 1월	16	KIZ_05	TERRA	D1z	6	323	0	106590	107800
26년 1월	16	KIZ_06	LUMI	D1z	4	339	200	61020	107800
26년 1월	16	KIZ_07	SERA	D1z	3	407	0	67155	107800
26년 1월	16	KIZ_08	ARIA	D1z	3	380	0	55860	107800
26년 1월	16	KIZ_09	KIYO	D1z	6	380	100	111720	107800
26년 1월	16	KIZ_10	ARIA	D1z	7	372	0	122388	107800
26년 1월	16	KIZ_11	NOVA	D1z	7	348	0	114492	107800
26년 1월	16	KIZ_12	ELON	D1z	5	399	0	105735	107800
26년 1월	16	KIZ_13	NOVA	D1z	6	424	0	111936	107800
26년 1월	16	KIZ_14	NOVA	D1z	7	344	0	117992	107800
26년 1월	16	KIZ_15	ARIA	D1z	6	355	200	115020	107800
26년 1월	16	KIZ_16	MIRA	D1z	8	445	0	163760	107800
26년 1월	16	KIZ_17	TERRA	D1z	6	357	500	124236	107800
26년 1월	16	KIZ_18	MIRA	D1z	4	332	300	55776	107800
26년 1월	16	KIZ_19	NOVA	D1z	6	324	200	91368	107800
26년 1월	16	KIZ_20	VITA	D1z	8	394	0	151296	107800
26년 1월	16	KIZ_21	KANO	D1z	5	348	100	88740	107800
26년 1월	16	KIZ_22	SERA	D1z	8	402	300	180096	107800
26년 1월	16	KIZ_23	LUMI	D1z	5	423	0	116325	107800
26년 1월	16	KIZ_24	KIYO	D1z	7	442	500	167076	107800
26년 1월	16	KIZ_25	KANO	D1z	8	402	0	186528	107800
26년 1월	16	KIZ_26	SERA	D1z	5	331	300	72820	107800
26년 1월	16	KIZ_27	SERA	D1z	7	334	200	133266	107800
26년 1월	16	KIZ_28	ELON	D1z	5	359	200	91545	107800
26년 1월	16	KIZ_29	LUMI	D1z	4	337	0	74140	107800
26년 1월	16	KIZ_30	KIYO	D1z	3	385	0	66990	107800
26년 1월	16	KIZ_31	LUMI	D1z	7	458	200	157094	107800
26년 1월	16	KIZ_32	SERA	D1z	6	413	300	133812	107800
26년 1월	16	KIZ_33	SERA	D1z	7	452	100	180348	107800
26년 1월	16	KIZ_34	LUMI	D1z	4	427	0	92232	107800
26년 1월	16	KIZ_35	LUMI	D1z	8	354	0	133104	107800
